pfam_accession	pfam_id	description
PF22242.2	6PGD_like	6-phosphogluconate dehydrogenase C-terminal domain-like
PF27505.1	6PGD_Tyr1_C	Tyr1-like, 6-phosphogluconate dehydrogenase C-terminal domain
PF23022.4	6TM_1st_PGAP2IP	PGAP2IP, first transmembrane domain
PF23021.4	6TM_2nd_PGAP2IP	PGAP2IP, second transmembrane domain
PF25323.3	6TM_PilS	PilS-like transmembrane domain
PF02294.25	7kD_DNA_binding	7kD DNA-binding domain
PF07698.18	7TM-7TMR_HD	7TM receptor with intracellular HD hydrolase
PF07696.18	7TMR-DISMED2	7TMR-DISM extracellular 2
PF07695.18	7TMR-DISM_7TM	7TM diverse intracellular signalling
PF07697.17	7TMR-HDED	7TM-HD extracellular
PF00001.27	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002.30	7tm_2	7 transmembrane receptor (Secretin family)
PF00003.29	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF13853.13	7tm_4	Olfactory receptor
PF02949.26	7tm_6	7tm Odorant receptor
PF08395.18	7tm_7	7tm Chemosensory receptor
PF02117.23	7TM_GPCR_Sra	Serpentine type 7TM GPCR chemoreceptor Sra
PF10292.16	7TM_GPCR_Srab	Serpentine type 7TM GPCR receptor class ab chemoreceptor
PF02175.23	7TM_GPCR_Srb	Serpentine type 7TM GPCR chemoreceptor Srb
PF10316.16	7TM_GPCR_Srbc	Serpentine type 7TM GPCR chemoreceptor Srbc 
PF10317.16	7TM_GPCR_Srd	Serpentine type 7TM GPCR chemoreceptor Srd
PF10318.16	7TM_GPCR_Srh	Serpentine type 7TM GPCR chemoreceptor Srh
PF10327.16	7TM_GPCR_Sri	Serpentine type 7TM GPCR chemoreceptor Sri
PF10319.16	7TM_GPCR_Srj	Serpentine type 7TM GPCR chemoreceptor Srj
PF10320.16	7TM_GPCR_Srsx	Serpentine type 7TM GPCR chemoreceptor Srsx
PF10321.16	7TM_GPCR_Srt	Serpentine type 7TM GPCR chemoreceptor Srt
PF10322.16	7TM_GPCR_Sru	Serpentine type 7TM GPCR chemoreceptor Sru
PF10323.16	7TM_GPCR_Srv	Serpentine type 7TM GPCR chemoreceptor Srv
PF10324.16	7TM_GPCR_Srw	Serpentine type 7TM GPCR chemoreceptor Srw
PF10328.16	7TM_GPCR_Srx	Serpentine type 7TM GPCR chemoreceptor Srx
PF10325.16	7TM_GPCR_Srz	Serpentine type 7TM GPCR chemoreceptor Srz
PF10326.16	7TM_GPCR_Str	Serpentine type 7TM GPCR chemoreceptor Str
PF14402.12	7TM_transglut	7 transmembrane helices usually fused to an inactive transglutaminase
PF17028.11	8TM_micro	8TM Microsporidial transmembrane domain
PF24838.3	8xMP	Octameric membrane protein family (8xMP)
PF07388.18	A-2_8-polyST	Alpha-2,8-polysialyltransferase (POLYST)
PF21585.4	A-ATP_synth_H_N	Archaeal A-ATP synthase, subunit H, N-terminal
PF23925.2	A-sol_ELP1	ELP1 alpha-solenoid
PF07966.18	A1_Propeptide	A1 Propeptide 
PF06750.19	A24_N_bact	Bacterial Peptidase A24 N-terminal domain
PF08792.17	A2L_zn_ribbon	A2L zinc ribbon domain
PF00207.29	A2M	Alpha-2-macroglobulin family
PF21142.4	A2M_bMG2	Bacterial alpha-2 macroglobulin MG2 domain
PF07703.21	A2M_BRD	Alpha-2-macroglobulin bait region domain
PF07677.21	A2M_recep	A-macroglobulin receptor binding domain
PF26967.1	A6-like_Thioredoxin-like_C	A6-like, Thioredoxin-like, C-terminal domain
PF21631.4	A9CJY8-like_N	A9CJY8-like, N-terminal domain
PF22430.2	Aa-Ago_N	Ago, N-terminal domain
PF03443.21	AA9	Auxiliary Activity family 9 (formerly GH61)
PF00004.36	AAA	ATPase family associated with various cellular activities (AAA)
PF09820.17	AAA-ATPase_like	Predicted AAA-ATPase
PF12846.14	AAA_10	AAA-like domain
PF13086.13	AAA_11	AAA domain
PF13087.13	AAA_12	AAA domain
PF13166.13	AAA_13	AAA domain
PF13173.13	AAA_14	AAA domain
PF13175.13	AAA_15	AAA ATPase domain
PF13191.13	AAA_16	AAA ATPase domain
PF13207.13	AAA_17	AAA domain
PF13238.13	AAA_18	AAA domain
PF13245.13	AAA_19	AAA domain
PF07724.21	AAA_2	AAA domain (Cdc48 subfamily)
PF13304.13	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system
PF13401.13	AAA_22	AAA domain
PF13476.13	AAA_23	AAA domain
PF13479.13	AAA_24	AAA domain
PF13481.13	AAA_25	AAA domain
PF13500.13	AAA_26	AAA domain
PF13514.13	AAA_27	AAA domain
PF13521.13	AAA_28	AAA domain
PF13555.13	AAA_29	P-loop containing region of AAA domain
PF07726.18	AAA_3	ATPase family associated with various cellular activities (AAA)
PF13604.13	AAA_30	AAA domain
PF13614.13	AAA_31	AAA domain
PF13654.13	AAA_32	LonB-like, AAA domain
PF13671.13	AAA_33	AAA domain
PF13872.13	AAA_34	P-loop containing NTP hydrolase pore-1
PF14516.13	AAA_35	AAA-like domain
PF07728.21	AAA_5	AAA domain (dynein-related subfamily)
PF12774.14	AAA_6	Hydrolytic ATP binding site of dynein motor region
PF12775.14	AAA_7	P-loop containing dynein motor region
PF12780.14	AAA_8	P-loop containing dynein motor region D4
PF12781.14	AAA_9	ATP-binding dynein motor region
PF14363.12	AAA_assoc	Domain associated at C-terminal with AAA
PF16193.12	AAA_assoc_2	AAA C-terminal domain
PF09821.15	AAA_assoc_C	C-terminal AAA-associated domain
PF17857.7	AAA_lid_1	AAA+ lid domain
PF17872.8	AAA_lid_10	AAA lid domain
PF18198.8	AAA_lid_11	Dynein heavy chain AAA lid domain
PF21396.4	AAA_lid_12	AAA+ ATPase lid domain
PF23232.2	AAA_lid_13	Fungal AAA+ ATPase lid domain
PF25601.2	AAA_lid_14	AAA+ ATPase lid domain
PF17863.8	AAA_lid_2	AAA lid domain
PF17862.8	AAA_lid_3	AAA+ lid domain
PF17864.8	AAA_lid_4	RuvB AAA lid domain
PF17865.8	AAA_lid_5	Midasin AAA lid domain
PF17866.9	AAA_lid_6	AAA lid domain
PF17867.8	AAA_lid_7	Midasin AAA lid domain
PF17868.8	AAA_lid_8	AAA lid domain
PF17871.8	AAA_lid_9	AAA lid domain
PF25568.1	AAA_lid_At3g28540	At3g28540-like, AAA+ ATPase lid domain
PF25426.2	AAA_lid_BCS1	Mitochondrial chaperone BCS1-like, ATPase lid domain
PF25408.2	AAA_lid_NAV1	NAV1-like, AAA+ ATPase lid domain
PF23902.1	AAA_lid_PRS2_C	PRS2 AAA+ lid C-terminal domain 
PF25361.2	AAA_lid_RFC1	RFC1-like, AAA+ ATPase lid domain
PF26587.1	AAA_lid_SMAX1	SMAX1-like, AAA+ ATPase lid domain
PF25520.2	AAA_lid_TANC1	TANC1-like, AAA+ ATPase lid domain
PF23242.2	AAA_lid_TRIP13_C	TRIP13-like, AAA+ ATPase lid C-terminal domain
PF08298.18	AAA_PrkA	PrkA AAA domain
PF26341.1	AAA_SelU	tRNA 2-selenouridine synthase AAA domain
PF13427.12	AadA_C	Aminoglycoside adenylyltransferase, C-terminal domain
PF04611.18	AalphaY_MDB	Mating type protein A alpha Y mating type dependent binding region 
PF03306.19	AAL_decarboxy	Alpha-acetolactate decarboxylase
PF26791.1	AAPxQ	AAPxQ domain
PF05282.18	AAR2	AAR2 C-terminal repeat region
PF20981.3	AAR2_1st	AAR2 N-terminal domain
PF08142.19	AARP2CN	AARP2CN (NUC121) domain
PF22624.2	AASDHPPT_N	4'-phosphopantetheinyl transferase, N-terminal
PF03417.22	AAT	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF07247.18	AATase	Alcohol acetyltransferase
PF13339.12	AATF-Che1	Apoptosis antagonizing transcription factor
PF00696.34	AA_kinase	Amino acid kinase family
PF00324.28	AA_permease	Amino acid permease
PF13520.13	AA_permease_2	Amino acid permease
PF13906.13	AA_permease_C	C-terminus of AA_permease
PF08403.16	AA_permease_N	Amino acid permease N-terminal
PF06684.17	AA_synth	Amino acid synthesis
PF01490.25	Aa_trans	Transmembrane amino acid transporter protein
PF14108.12	ABA4-like	ABA DEFICIENT 4-like
PF07336.17	ABATE	Putative stress-induced transcription regulator
PF12430.14	ABA_GPCR	Abscisic acid G-protein coupled receptor 
PF02496.22	ABA_WDS	ABA/WDS induced protein
PF14156.13	AbbA_antirepres	Antirepressor AbbA
PF26999.1	ABC-2_memb_rel	ABC-2 membrane transporter related
PF00950.23	ABC-3	ABC 3 transport family
PF26919.1	ABC-like_C	ABC transporter domain-containing protein-like, C-terminal domain
PF03109.23	ABC1	ABC1 atypical kinase-like domain
PF01061.30	ABC2_membrane	ABC-2 type transporter
PF12679.14	ABC2_membrane_2	ABC-2 family transporter protein
PF12698.14	ABC2_membrane_3	ABC-2 family transporter protein
PF12730.14	ABC2_membrane_4	ABC-2 family transporter protein
PF13346.13	ABC2_membrane_5	ABC-2 family transporter protein
PF06182.18	ABC2_membrane_6	ABC-2 family transporter protein
PF19055.7	ABC2_membrane_7	ABC-2 type transporter
PF25158.1	ABCA11_C	ABC transporter A family member 11-like, C-terminal domain
PF24526.2	ABCA12_C	ABCA12-like, C-terminal domain
PF24358.2	ABCC10_N	ABCC10 N-terminal domain
PF21707.4	ABC_AB	Emaravirus ABC_AB protein 
PF09818.16	ABC_ATPase	P-loop domain
PF21709.3	ABC_C	Emaravirus ABC_C protein
PF09819.15	ABC_cobalt	ABC-type cobalt transport system, permease component
PF16962.12	ABC_export	Putative ABC exporter
PF00664.29	ABC_membrane	ABC transporter transmembrane region
PF06472.21	ABC_membrane_2	ABC transporter transmembrane region 2
PF13748.12	ABC_membrane_3	ABC transporter transmembrane region
PF20446.4	ABC_N	ATPase of the ABC class N-terminal
PF04392.19	ABC_sub_bind	ABC transporter substrate binding protein
PF20220.4	ABC_toxin_N	ABC toxin N-terminal region
PF00005.34	ABC_tran	ABC transporter
PF09822.17	ABC_transp_aux	ABC-type uncharacterized transport system
PF03886.19	ABC_trans_aux	ABC-type transport auxiliary lipoprotein component
PF06541.17	ABC_trans_CmpB	Putative ABC-transporter type IV
PF14510.12	ABC_trans_N	ABC-transporter N-terminal
PF16949.12	ABC_tran_2	Putative ATP-binding cassette
PF16326.11	ABC_tran_CTD	ABC transporter C-terminal domain
PF12848.14	ABC_tran_Xtn	ABC transporter
PF12407.13	Abdominal-A	Homeobox protein 
PF05270.20	AbfB	Alpha-L-arabinofuranosidase B (ABFB) domain
PF18225.9	AbfS_sensor	Sensor histidine kinase (AbfS) sensor domain
PF03806.20	ABG_transport	AbgT putative transporter family
PF22990.2	ABHD16_N	Phosphatidylserine Lipase ABHD16 N-terminal domain
PF09752.16	ABHD18	Alpha/beta hydrolase domain containing 18 
PF22316.3	ABhydrolase-like_N	A/B hydrolase-like, N-terminal domain
PF00561.27	Abhydrolase_1	alpha/beta hydrolase fold
PF20091.6	Abhydrolase_10	Alpha/beta hydrolase domain
PF20408.5	Abhydrolase_11	Alpha/beta hydrolase domain
PF02230.23	Abhydrolase_2	Phospholipase/Carboxylesterase
PF07859.20	Abhydrolase_3	alpha/beta hydrolase fold
PF08386.17	Abhydrolase_4	TAP-like protein
PF12695.14	Abhydrolase_5	Alpha/beta hydrolase family
PF12697.14	Abhydrolase_6	Alpha/beta hydrolase family
PF12715.14	Abhydrolase_7	Abhydrolase family
PF06259.19	Abhydrolase_8	Alpha/beta hydrolase
PF10081.16	Abhydrolase_9	Alpha/beta-hydrolase family
PF15420.12	Abhydrolase_9_N	Alpha/beta-hydrolase family N-terminus
PF04083.23	Abhydro_lipase	Partial alpha/beta-hydrolase lipase region
PF27594.1	ABI	Abl interactor protein
PF08843.18	AbiEii	Nucleotidyl transferase AbiEii toxin, Type IV TA system
PF09407.17	AbiEi_1	AbiEi antitoxin C-terminal domain
PF09952.15	AbiEi_2	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
PF11459.14	AbiEi_3	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
PF17194.11	AbiEi_3_N	Transcriptional regulator, AbiEi antitoxin N-terminal domain
PF13338.13	AbiEi_4	Transcriptional regulator, AbiEi antitoxin
PF10899.14	AbiGi	Putative abortive phage resistance protein AbiGi, antitoxin
PF16873.11	AbiGii_2	Putative abortive phage resistance protein AbiGii toxin
PF20578.5	aBig_2	Atrophied bacterial Ig domain
PF14253.12	AbiH	Bacteriophage abortive infection AbiH
PF18860.8	AbiJ_NTD3	AbiJ N-terminal domain 3
PF18863.7	AbiJ_NTD4	AbiJ N-terminal domain 4
PF18865.8	AbiJ_NTD5	AbiJ N-terminal domain 5
PF18864.7	AbiTii	AbiTii
PF07751.17	Abi_2	Abi-like protein
PF14337.14	Abi_alpha	Abortive infection alpha
PF14355.13	Abi_C	HEPN-like domain
PF07815.20	Abi_HHR	Abl-interactor HHR
PF16182.11	AbLIM_anchor	Putative adherens-junction anchoring region of AbLIM
PF03992.23	ABM	Antibiotic biosynthesis monooxygenase
PF21931.3	ABM-like	ABM-like domain
PF09441.16	Abp2	ARS binding protein 2
PF22224.2	AbpA-like	Amylase-binding protein AbpA
PF27030.1	AbpE_bact	AbpE bacteria
PF05145.18	AbrB	Transition state regulatory protein AbrB
PF14250.12	AbrB-like	AbrB-like transcriptional regulator
PF18277.7	AbrB_C	AbrB C-terminal domain
PF27760.1	ABT1_C	ABT1 C-terminal domain
PF26147.1	AB_HYDROLASE_YMC0-YMC35	YMC0/YMC35 alpha/beta hydrolase domain
PF07280.18	Ac110_PIF	Per os infectivity factor AC110
PF20520.4	Ac45-VOA1_TM	V0 complex accessory subunit Ac45/VOA1 transmembrane domain
PF05814.17	Ac76	Orf76 (Ac76)
PF05820.18	Ac81	Baculoviridae AC81
PF08965.17	Aca2_YdiL	Aca2/YdiL-like
PF08900.17	AcaB	Transcriptional regulator AcaB
PF21343.3	ACAD9-ACADV_C	ACAD9/ACADV, C-terminal domain
PF20963.3	Acanthaporin	Acanthaporin
PF16177.12	ACAS_N	Acetyl-coenzyme A synthetase N-terminus
PF13000.14	Acatn	Acetyl-coenzyme A transporter 1
PF23474.2	Acb1	Anti-CBASS protein Acb1
PF24729.3	Acb2_Tad1_hairpin	Acb2/Tad1, hairpin domain
PF25187.2	Acb3	CBASS inhibitor Acb3
PF26761.1	Acb5	Acb5 phage protein
PF00887.25	ACBP	Acyl CoA binding protein
PF24922.1	ACBP4_C	Acyl-CoA-binding domain-containing protein 4-6, C-terminal
PF05528.18	Acc5b_avian_CoV	Accessory protein 5b, avian coronavirus
PF03255.20	ACCA	Acetyl co-enzyme A carboxylase carboxyltransferase-like
PF21385.3	ACCA_BT	Acetyl-CoA carboxylase, BT domain
PF08326.18	ACC_central	Acetyl-CoA carboxylase, central region
PF13822.12	ACC_epsilon	Acyl-CoA carboxylase epsilon subunit
PF16671.11	ACD	Actin cross-linking domain
PF14733.12	ACDC	AP2-coincident C-terminal
PF22217.2	ACDH-11_C	Acyl-CoA dehydrogenase 11 C-terminal domain-like
PF09317.17	ACDH_C	Acyl-CoA dehydrogenase, C-terminal, bacterial type
PF28347.1	ACE1_beta	ACE1 small beta sheet domain
PF28329.1	ACE1_N	Zinc finger transcription factor ace1 N-terminal domain
PF21556.4	AceES-2	Excretory-secretory protein 2
PF06315.18	AceK_kinase	Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain
PF20423.4	AceK_regulatory	Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain
PF00871.24	Acetate_kinase	Acetokinase family
PF09290.17	AcetDehyd-dimer	Prokaryotic acetaldehyde dehydrogenase, dimerisation
PF08882.17	Acetone_carb_G	Acetone carboxylase gamma subunit
PF02550.22	AcetylCoA_hydro	Acetyl-CoA hydrolase/transferase N-terminal domain
PF13336.13	AcetylCoA_hyd_C	Acetyl-CoA hydrolase/transferase C-terminal domain
PF00583.32	Acetyltransf_1	Acetyltransferase (GNAT) family
PF13673.14	Acetyltransf_10	Acetyltransferase (GNAT) domain
PF13720.12	Acetyltransf_11	Udp N-acetylglucosamine O-acyltransferase; Domain 2
PF13880.13	Acetyltransf_13	ESCO1/2 acetyl-transferase
PF03421.24	Acetyltransf_14	YopJ Serine/Threonine acetyltransferase
PF17013.12	Acetyltransf_15	Putative acetyl-transferase
PF05301.19	Acetyltransf_16	GNAT acetyltransferase, Mec-17
PF17668.8	Acetyltransf_17	Acetyltransferase (GNAT) domain
PF18014.8	Acetyltransf_18	Acetyltransferase (GNAT) domain
PF18015.8	Acetyltransf_19	Acetyltransferase (GNAT) domain
PF00797.24	Acetyltransf_2	N-acetyltransferase
PF13302.14	Acetyltransf_3	Acetyltransferase (GNAT) domain
PF13420.14	Acetyltransf_4	Acetyltransferase (GNAT) domain
PF13444.13	Acetyltransf_5	Acetyltransferase (GNAT) domain
PF13480.14	Acetyltransf_6	Acetyltransferase (GNAT) domain
PF13508.14	Acetyltransf_7	Acetyltransferase (GNAT) domain
PF13523.13	Acetyltransf_8	Acetyltransferase (GNAT) domain
PF13527.14	Acetyltransf_9	Acetyltransferase (GNAT) domain
PF14542.13	Acetyltransf_CG	GCN5-related N-acetyl-transferase
PF26759.1	AcfD_helical	AcfD helical domain
PF08674.16	AChE_tetra	Acetylcholinesterase tetramerisation domain
PF15270.12	ACI44	Metallo-carboxypeptidase inhibitor 
PF03767.21	Acid_phosphat_B	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF12689.14	Acid_PPase	Acid Phosphatase
PF28205.1	AciT	Ciprofloxacin tolerance protein
PF28338.1	AclK_C	AclK C-terminal domain
PF26144.1	ACL_Hsps-like	Hsps-like alpha-crystallin-like domain
PF05054.17	AcMNPV_Ac109	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein
PF07138.18	AcMNPV_AC11	Baculovirus protein AC11
PF06648.18	AcMNPV_Ac75	Autographa californica nuclear polyhedrosis virus (AcMNPV), Ac75
PF05815.18	AcMNPV_Orf101	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf101
PF06856.17	AcMNPV_Orf17	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf17
PF07134.18	AcMNPV_Orf18	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18
PF05081.19	AcMNPV_P18	Autographa californica nuclear polyhedrosis virus (AcMNPV), P18
PF04412.20	AcnX	Aconitase X first domain
PF28403.1	AcnX_2nd	Aconitase X second domain
PF28406.1	AcnX_3rd	Aconitase X third domain
PF01989.25	AcnX_swivel_put	Aconitase X swivel domain
PF00330.26	Aconitase	Aconitase family (aconitate hydratase)
PF06434.20	Aconitase_2_N	Aconitate hydratase 2 N-terminus
PF11791.15	Aconitase_B_N	Aconitate B N-terminal domain
PF00694.26	Aconitase_C	Aconitase C-terminal domain
PF01756.25	ACOX	Acyl-CoA oxidase
PF22924.2	ACOX_C_alpha1	Acyl-CoA oxidase, C-alpha1 domain
PF06857.17	ACP	Malonate decarboxylase delta subunit (MdcD)
PF05777.18	Acp26Ab	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)
PF06313.17	ACP53EA	Drosophila ACP53EA protein
PF01648.26	ACPS	4'-phosphopantetheinyl transferase superfamily
PF04336.19	ACP_PD	Acyl carrier protein phosphodiesterase
PF23297.2	ACP_SdgA_C	Highly reducing polyketide synthase sdgA, C-terminal ACP domain
PF08545.17	ACP_syn_III	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF08541.17	ACP_syn_III_C	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal  
PF24914.2	ACR10_N	ACT domain-containing protein ACR10, N-terminal
PF20829.3	Acr30-35_AcrF1	Anti-CRISPR protein Acr30-35/AcrF1
PF25704.2	AcrF2	Anti-CRISPR protein AcrF2 protein
PF21401.3	AcrF3	Cas3 inhibitor AcrF3
PF25703.2	AcrF31	Anti-CRISPR protein F31
PF25699.1	AcrF8	Anti-CRISPR protein AcrF8
PF22147.2	AcrIC5	Anti-CRISPR protein AcrIC5
PF28100.1	AcrIE3-like	Anti-CRISPR type I subtype E3-like
PF26151.1	AcrIF11_ADP_ribosyl	Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11
PF24304.2	AcrIIA4	Anti-CRISPR Suppressor AcrIIA4
PF28149.1	AcrIIA6	Anti-CRISPR type II subtype A6-like
PF26125.1	AcrVA2-like	Anti-CRISPR type V subtype A2 family
PF10766.15	AcrZ	Multidrug efflux pump-associated protein AcrZ
PF00873.26	ACR_tran	AcrB/AcrD/AcrF family
PF19436.5	ACS_CODH_B_C	ACS/CODH beta subunit C-terminal
PF01842.32	ACT	ACT domain
PF09192.17	Act-Frag_cataly	Actin-fragmin kinase, catalytic
PF28342.1	ACT-like	Fungal ACT-like domain
PF05058.18	ActA	ActA Protein
PF11821.14	ActD	Alternative complex III, ActD subunit
PF00976.24	ACTH_domain	Corticotropin ACTH domain
PF00022.26	Actin	Actin
PF14408.12	Actino_peptide	Ribosomally synthesised peptide in actinomycetes
PF17003.13	Actin_micro	Putative actin-like family
PF11657.13	Activator-TraM	Transcriptional activator TraM 
PF11498.14	Activator_LAG-3	Transcriptional activator LAG-3
PF01064.31	Activin_recp	Activin types I and II receptor domain
PF16840.11	ACTL7A_N	Actin-like protein 7A N-terminus
PF21646.4	ACTMAP-like_C	Actin maturation protease-like, C-terminal domain
PF26798.1	ACT_10	ACT domain
PF26946.1	ACT_11	ACT-like domain
PF26954.1	ACT_12	ACT-like domain
PF26955.1	ACT_13	ACT-like domain
PF10000.16	ACT_3	ACT domain
PF13291.13	ACT_4	ACT domain
PF13710.13	ACT_5	ACT domain
PF13740.13	ACT_6	ACT domain
PF13840.13	ACT_7	ACT domain 
